#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-05-25 15:29:43 -04:00	(natwebcaas01)
#
# This file contains USGS Daily Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04096405     00060          ST. JOSEPH RIVER AT BURLINGTON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# month_nu    ... The month for which the statistics apply.
# day_nu      ... The day for which the statistics apply.
# begin_yr    ... First water year of data of daily mean values for this day.
# end_yr      ... Last water year of data of daily mean values for this day.
# count_nu    ... Number of values used in the calculation.
# max_va_yr   ... Water year in which the maximum value occurred.
# max_va      ... Maximum of daily mean values for this day.
# min_va_yr   ... Water year in which the minimum value occurred.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
1agenc   2site_no	 3param 4ts_id	5mon  6day  7begi	8end 9count 10maxyr11max12minyr 13min_v14me15p5-16p10-17p20-18p25-19p50-20p75-21p80-22p90-23p95
5s	15s	5s	10n	15s	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	04096405	00060	70388		1	1	1963	2020	58	1991	580	1964	24.0	212	44	72	108	125	183	249	300	425	493
USGS	04096405	00060	70388		1	2	1963	2020	58	1991	588	1964	24.0	211	42	71	107	124	186	252	289	415	458
USGS	04096405	00060	70388		1	3	1963	2020	58	1991	560	1964	24.0	205	40	77	107	129	178	244	273	402	458
USGS	04096405	00060	70388		1	4	1963	2020	58	1993	574	1964	25.0	208	45	87	107	128	193	241	283	389	532
USGS	04096405	00060	70388		1	5	1963	2020	58	1993	755	1964	27.0	211	45	86	106	128	175	249	298	438	530
USGS	04096405	00060	70388		1	6	1963	2020	58	1993	782	1964	30.0	211	45	85	106	120	168	240	299	451	509
USGS	04096405	00060	70388		1	7	1963	2020	58	1993	751	1964	30.0	208	44	81	107	123	168	243	301	436	469
USGS	04096405	00060	70388		1	8	1963	2020	58	1993	720	1964	30.0	210	44	81	110	118	168	269	281	410	600
USGS	04096405	00060	70388		1	9	1963	2020	58	2008	876	1964	32.0	212	44	79	114	120	164	256	284	390	648
USGS	04096405	00060	70388		1	10	1963	2020	58	2008	899	1964	32.0	208	44	82	114	120	163	251	269	372	635
USGS	04096405	00060	70388		1	11	1963	2020	58	2008	850	1964	32.0	207	44	81	113	125	159	244	263	378	630
USGS	04096405	00060	70388		1	12	1963	2020	58	2008	891	1964	32.0	210	44	81	114	120	163	257	264	373	617
USGS	04096405	00060	70388		1	13	1963	2020	58	2008	923	1964	30.0	211	40	80	114	120	164	241	264	483	588
USGS	04096405	00060	70388		1	14	1963	2020	58	2008	902	1964	30.0	209	40	79	110	114	168	228	259	465	650
USGS	04096405	00060	70388		1	15	1963	2020	58	2008	840	1964	30.0	205	40	80	104	113	167	223	254	473	646
USGS	04096405	00060	70388		1	16	1963	2020	58	2008	735	1964	27.0	200	40	85	105	112	162	238	250	461	622
USGS	04096405	00060	70388		1	17	1963	2020	58	2020	662	1964	27.0	197	35	81	104	113	163	235	252	430	562
USGS	04096405	00060	70388		1	18	1963	2020	58	2020	587	1964	27.0	199	35	80	105	114	155	232	279	401	519
USGS	04096405	00060	70388		1	19	1963	2020	58	2020	576	1964	27.0	194	35	77	105	115	160	238	282	381	462
USGS	04096405	00060	70388		1	20	1963	2020	58	2020	593	1964	30.0	192	35	75	109	115	160	242	281	362	422
USGS	04096405	00060	70388		1	21	1963	2020	58	2020	551	1977	33.0	195	35	74	110	117	160	261	291	389	450
USGS	04096405	00060	70388		1	22	1963	2020	58	2020	519	1963	30.0	198	37	74	109	117	161	271	304	374	485
USGS	04096405	00060	70388		1	23	1963	2020	58	2012	569	1963	30.0	199	40	84	109	117	163	270	304	381	467
USGS	04096405	00060	70388		1	24	1963	2020	58	2012	629	1963	30.0	201	42	84	110	119	161	257	301	412	438
USGS	04096405	00060	70388		1	25	1963	2020	58	2012	564	1963	30.0	201	42	84	110	119	166	262	290	412	451
USGS	04096405	00060	70388		1	26	1963	2020	58	2012	528	1963	30.0	199	42	83	110	118	162	263	283	421	441
USGS	04096405	00060	70388		1	27	1963	2020	58	2012	542	1963	30.0	194	42	86	110	119	158	258	273	400	441
USGS	04096405	00060	70388		1	28	1963	2020	58	2012	562	1963	30.0	194	42	86	110	119	158	251	262	392	450
USGS	04096405	00060	70388		1	29	1963	2020	58	2012	508	1963	30.0	195	42	85	110	114	160	251	287	376	452
USGS	04096405	00060	70388		1	30	1963	2020	58	1969	560	1963	30.0	200	42	86	110	114	163	257	289	381	433
USGS	04096405	00060	70388		1	31	1963	2020	58	1969	640	1963	30.0	204	42	84	106	110	160	266	302	395	424
USGS	04096405	00060	70388		2	1	1963	2020	58	1969	701	1963	30.0	205	45	84	104	110	158	270	289	381	503
USGS	04096405	00060	70388		2	2	1963	2020	58	1968	779	1963	30.0	208	48	83	104	110	158	269	284	370	507
USGS	04096405	00060	70388		2	3	1963	2020	58	1968	833	1963	30.0	207	52	82	104	110	163	259	290	360	467
USGS	04096405	00060	70388		2	4	1963	2020	58	1968	860	1963	31.0	204	49	83	100	110	165	268	286	351	439
USGS	04096405	00060	70388		2	5	1963	2020	58	1968	900	1963	31.0	204	44	82	104	110	162	272	286	359	419
USGS	04096405	00060	70388		2	6	1963	2020	58	1968	870	1977	34.0	207	44	85	103	117	158	263	289	358	554
USGS	04096405	00060	70388		2	7	1963	2020	58	1968	800	1977	34.0	206	42	90	108	110	168	263	274	357	512
USGS	04096405	00060	70388		2	8	1963	2020	58	1968	700	1977	34.0	207	37	91	109	119	168	262	298	364	481
USGS	04096405	00060	70388		2	9	1963	2020	58	2008	650	1977	34.0	206	40	91	109	119	167	267	301	382	471
USGS	04096405	00060	70388		2	10	1963	2020	58	2001	726	1977	34.0	209	40	92	109	120	169	265	300	373	551
USGS	04096405	00060	70388		2	11	1963	2020	58	2001	800	1963	35.0	207	40	92	104	119	168	269	282	380	501
USGS	04096405	00060	70388		2	12	1963	2020	58	2001	686	1963	35.0	207	40	91	104	119	171	258	285	371	491
USGS	04096405	00060	70388		2	13	1963	2020	58	2001	697	1963	35.0	207	40	90	104	119	171	265	287	355	481
USGS	04096405	00060	70388		2	14	1963	2020	58	2001	758	1963	35.0	209	37	88	104	120	165	252	282	398	473
USGS	04096405	00060	70388		2	15	1963	2020	58	2001	825	1963	35.0	209	36	86	103	119	165	244	274	380	574
USGS	04096405	00060	70388		2	16	1963	2020	58	2001	813	1963	35.0	209	37	86	107	118	169	248	292	387	564
USGS	04096405	00060	70388		2	17	1963	2020	58	2001	689	1963	35.0	209	38	86	108	123	171	259	291	378	598
USGS	04096405	00060	70388		2	18	1963	2020	58	2008	675	1963	35.0	210	40	85	107	125	174	265	287	386	537
USGS	04096405	00060	70388		2	19	1963	2020	58	2008	685	1964	35.0	217	42	85	110	124	186	249	272	484	560
USGS	04096405	00060	70388		2	20	1963	2020	58	2008	675	1964	35.0	228	44	84	117	125	198	276	298	471	606
USGS	04096405	00060	70388		2	21	1963	2020	58	2018	920	1964	35.0	242	45	83	118	129	204	299	365	493	640
USGS	04096405	00060	70388		2	22	1963	2020	58	2018	1150	1964	35.0	253	46	79	119	141	205	302	366	493	631
USGS	04096405	00060	70388		2	23	1963	2020	58	2018	1120	1964	35.0	266	45	89	124	140	224	325	362	504	658
USGS	04096405	00060	70388		2	24	1963	2020	58	2018	1130	1964	35.0	278	44	94	130	140	230	337	416	521	797
USGS	04096405	00060	70388		2	25	1963	2020	58	2018	1140	1964	35.0	285	43	98	139	148	223	331	429	582	770
USGS	04096405	00060	70388		2	26	1963	2020	58	2018	1110	1964	35.0	283	43	98	138	144	214	333	400	680	733
USGS	04096405	00060	70388		2	27	1963	2020	58	1985	1180	1964	35.0	285	42	98	140	145	212	330	397	647	731
USGS	04096405	00060	70388		2	28	1963	2020	58	1985	1140	1964	35.0	283	42	99	137	149	207	357	390	609	771
USGS	04096405	00060	70388		2	29	1964	2020	15	1976	592	1964	35.0	226		72	152	162	193	271	310	449	
USGS	04096405	00060	70388		3	1	1963	2020	58	1985	1120	1964	35.0	280	43	109	140	148	208	348	431	558	715
USGS	04096405	00060	70388		3	2	1963	2020	58	1985	1010	1964	37.0	280	45	109	149	153	210	356	451	563	678
USGS	04096405	00060	70388		3	3	1963	2020	58	1985	886	1964	37.0	279	50	113	150	163	209	381	425	524	726
USGS	04096405	00060	70388		3	4	1963	2020	58	1985	829	1964	40.0	281	59	123	150	162	225	399	403	511	763
USGS	04096405	00060	70388		3	5	1963	2020	58	1976	919	1964	42.0	291	69	128	150	158	233	383	435	600	711
USGS	04096405	00060	70388		3	6	1963	2020	58	1976	1020	2003	42.0	292	78	120	156	160	229	364	424	575	738
USGS	04096405	00060	70388		3	7	1963	2020	58	1976	996	2003	41.0	288	81	118	154	158	227	363	415	533	668
